-9.000	-0.497	0.013	-0.109
-8.500	-0.446	0.012	-0.109
-8.000	-0.395	0.012	-0.108
-7.500	-0.343	0.011	-0.107
-7.000	-0.290	0.010	-0.107
-6.500	-0.235	0.010	-0.107
-6.000	-0.180	0.009	-0.107
-5.500	-0.124	0.008	-0.107
-5.000	-0.067	0.008	-0.107
-4.500	-0.011	0.008	-0.107
-4.000	0.046	0.007	-0.107
-3.500	0.103	0.007	-0.107
-3.000	0.161	0.007	-0.107
-2.500	0.219	0.007	-0.108
-2.000	0.276	0.006	-0.108
-1.500	0.333	0.006	-0.108
-0.500	0.446	0.005	-0.109
0.000	0.502	0.005	-0.109
0.500	0.559	0.005	-0.109
1.000	0.614	0.005	-0.109
1.500	0.669	0.005	-0.109
2.000	0.723	0.005	-0.108
2.500	0.776	0.005	-0.108
3.000	0.825	0.006	-0.106
3.500	0.882	0.006	-0.106
4.000	0.935	0.006	-0.106
4.500	0.988	0.007	-0.106
5.000	1.041	0.007	-0.105
5.500	1.092	0.008	-0.104
6.000	1.144	0.008	-0.104
6.500	1.195	0.009	-0.103
7.000	1.245	0.009	-0.102
7.500	1.294	0.010	-0.101
8.000	1.340	0.011	-0.100
8.500	1.385	0.012	-0.098
9.000	1.428	0.012	-0.096
9.500	1.471	0.013	-0.095
10.000	1.514	0.014	-0.093
10.500	1.552	0.015	-0.090
11.000	1.590	0.016	-0.087
11.500	1.619	0.017	-0.083
12.000	1.650	0.018	-0.079
12.500	1.679	0.019	-0.076
13.000	1.702	0.021	-0.072
13.500	1.725	0.022	-0.068
14.000	1.749	0.024	-0.065
14.500	1.767	0.027	-0.062
15.000	1.777	0.030	-0.059
15.500	1.792	0.033	-0.056
16.000	1.805	0.036	-0.054
