-9.000	-0.520	0.025	-0.097
-8.500	-0.453	0.021	-0.102
-8.000	-0.381	0.019	-0.107
-7.500	-0.326	0.016	-0.109
-7.000	-0.278	0.013	-0.109
-6.500	-0.227	0.012	-0.108
-6.000	-0.174	0.011	-0.108
-5.500	-0.120	0.010	-0.107
-5.000	-0.065	0.010	-0.107
-4.500	-0.010	0.009	-0.107
-4.000	0.046	0.009	-0.107
-3.500	0.103	0.008	-0.107
-3.000	0.159	0.008	-0.107
-2.500	0.216	0.008	-0.107
-2.000	0.272	0.007	-0.108
-1.500	0.328	0.007	-0.108
-1.000	0.384	0.006	-0.108
-0.500	0.440	0.006	-0.108
0.000	0.497	0.006	-0.108
0.500	0.551	0.006	-0.108
1.000	0.605	0.006	-0.107
1.500	0.655	0.006	-0.105
2.000	0.714	0.006	-0.106
2.500	0.768	0.006	-0.105
3.000	0.823	0.006	-0.105
3.500	0.876	0.007	-0.105
4.000	0.929	0.007	-0.104
4.500	0.981	0.008	-0.103
5.000	1.031	0.008	-0.103
5.500	1.082	0.009	-0.102
6.000	1.132	0.009	-0.101
6.500	1.182	0.010	-0.100
7.000	1.231	0.010	-0.099
7.500	1.278	0.011	-0.098
8.000	1.324	0.012	-0.097
8.500	1.367	0.013	-0.095
9.000	1.409	0.014	-0.092
9.500	1.447	0.015	-0.090
10.000	1.483	0.016	-0.087
10.500	1.512	0.017	-0.083
11.000	1.544	0.018	-0.079
11.500	1.567	0.020	-0.075
12.000	1.595	0.021	-0.071
12.500	1.619	0.023	-0.068
13.000	1.632	0.026	-0.064
13.500	1.655	0.028	-0.061
14.000	1.674	0.030	-0.058
14.500	1.683	0.034	-0.056
15.000	1.677	0.039	-0.053
15.500	1.688	0.043	-0.051
16.000	1.693	0.048	-0.050
