-10.000	-0.350	0.121	-0.042
-9.500	-0.357	0.111	-0.045
-9.000	-0.329	0.103	-0.040
-8.500	-0.323	0.098	-0.039
-8.000	-0.341	0.094	-0.039
-7.000	-0.434	0.090	-0.028
-6.500	-0.413	0.077	-0.043
-6.000	-0.363	0.070	-0.049
-5.500	-0.313	0.058	-0.068
-5.000	-0.251	0.051	-0.079
-4.500	-0.166	0.032	-0.088
-3.500	-0.011	0.023	-0.097
-3.000	0.061	0.021	-0.100
-2.500	0.138	0.019	-0.104
-2.000	0.200	0.017	-0.106
-1.500	0.252	0.016	-0.102
-1.000	0.324	0.016	-0.103
-0.500	0.390	0.016	-0.106
0.000	0.454	0.016	-0.107
0.500	0.513	0.016	-0.107
1.000	0.575	0.016	-0.108
1.500	0.631	0.016	-0.107
2.000	0.686	0.016	-0.106
2.500	0.742	0.016	-0.105
3.000	0.798	0.016	-0.105
3.500	0.849	0.016	-0.103
4.000	0.901	0.016	-0.102
4.500	0.951	0.016	-0.100
5.000	1.002	0.017	-0.098
5.500	1.053	0.017	-0.097
6.000	1.101	0.017	-0.095
6.500	1.146	0.018	-0.092
7.000	1.189	0.019	-0.090
7.500	1.230	0.020	-0.087
8.000	1.269	0.021	-0.085
8.500	1.304	0.022	-0.082
9.000	1.336	0.024	-0.078
9.500	1.362	0.026	-0.074
10.000	1.380	0.027	-0.068
10.500	1.391	0.030	-0.062
11.000	1.399	0.033	-0.057
11.500	1.409	0.036	-0.052
12.000	1.421	0.040	-0.048
12.500	1.428	0.043	-0.045
13.000	1.444	0.048	-0.042
13.500	1.447	0.053	-0.039
14.000	1.448	0.058	-0.036
14.500	1.440	0.066	-0.034
15.500	1.386	0.083	-0.034
16.000	1.339	0.096	-0.038
